date,delivery,close,volume
2026-08-14,2611,4680.0,363065.0
2026-08-17,2611,4724.0,265072.0
2026-08-18,2611,4730.0,215961.0
2026-08-19,2611,4718.0,305036.0
2026-08-20,2611,4800.0,335667.0
2026-08-21,2611,4892.0,535700.0
2026-08-24,2611,4866.0,350057.0
2026-08-25,2611,4848.0,316118.0
2026-08-26,2611,4786.0,298908.0
2026-08-27,2611,4800.0,257607.0
2026-08-28,2611,4788.0,369945.0
2026-08-31,2611,4748.0,356957.0
2026-09-01,2611,4862.0,399211.0
2026-09-02,2611,4840.0,437741.0
2026-09-03,2611,4810.0,364824.0
2026-09-04,2611,4854.0,338544.0
